Step	Best	Median	Predicted	Progress
133	0.489818	0.64004	-0.296618	0.002707
134	0.487391	0.631724	-0.292685	0.00269349
135	0.492989	0.512131	-0.285842	0.00267064
136	0.49017	0.669257	-0.280725	0.00265315
137	0.494025	0.682454	-0.278172	0.00264385
138	0.490051	0.569313	-0.27269	0.00262484
139	0.487482	0.574925	-0.268875	0.00261119
140	0.492149	0.530699	-0.261754	0.00258772
141	0.491973	0.586845	-0.255546	0.0025667
142	0.488691	0.518358	-0.25089	0.00255076
143	0.483037	0.516554	-0.245327	0.00253168
144	0.481338	0.508235	-0.244869	0.00252894
145	0.487437	0.510379	-0.241643	0.00251741
146	0.49195	0.54224	-0.236521	0.00249987
147	0.485648	0.504487	-0.232775	0.00248667
148	0.484435	0.500295	-0.231047	0.0024799
149	0.483973	0.556946	-0.226955	0.00246537
150	0.483222	0.51202	-0.222338	0.00244903
151	0.48348	0.534204	-0.212612	0.00241604
152	0.482127	0.504358	-0.19683	0.00236413
153	0.48068	0.507891	-0.193517	0.00235267
154	0.481108	0.513004	-0.193015	0.00234985
155	0.483621	0.54043	-0.187074	0.00232922
156	0.479773	0.512624	-0.180442	0.00230675
157	0.482706	0.499311	-0.169865	0.00227129
158	0.484966	0.503121	-0.169152	0.00226754
159	0.483105	0.502003	-0.167885	0.00226201
160	0.487228	0.508431	-0.16126	0.00223909
161	0.486392	0.501164	-0.145446	0.00218695
162	0.481895	0.495349	-0.139898	0.00216771
163	0.481869	0.497945	-0.139137	0.00216385
164	0.477671	0.508945	-0.134685	0.00214803
165	0.480874	0.499895	-0.125629	0.00211762
166	0.481582	0.49999	-0.11725	0.00208924
167	0.47856	0.502228	-0.110679	0.00206687
168	0.482697	0.500235	-0.101206	0.00203502
169	0.479965	0.499883	-0.0995834	0.0020283
170	0.47793	0.495625	-0.0862523	0.00198417
171	0.479668	0.498387	-0.0820768	0.00196941
172	0.479968	0.506676	-0.0772623	0.00195267
173	0.481332	0.50568	-0.0724978	0.0019359
174	0.478869	0.563908	-0.0619171	0.00190075
175	0.479045	0.507725	-0.0436508	0.00184138
176	0.478649	0.495855	-0.0385528	0.00182378
177	0.479159	0.502192	-0.0274915	0.00178733
178	0.478716	0.501198	-0.0196087	0.001761
179	0.480667	0.495094	-0.00528336	0.00171446
180	0.481857	0.501119	-0.000285804	0.00169725
181	0.478065	0.492935	0.0160865	0.00164414
182	0.481316	0.492837	0.0413328	0.00156325
183	0.480076	0.49805	0.0492766	0.0015366
184	0.48333	0.49629	0.053233	0.00152272
185	0.477824	0.497576	0.068235	0.00147429
186	0.478961	0.498755	0.105917	0.00135327
187	0.480439	0.494814	0.117771	0.00131365
188	0.483193	0.50695	0.125342	0.00128791
189	0.482264	0.494237	0.129656	0.00127244
190	0.476955	0.498363	0.137467	0.00124547
191	0.479285	0.500141	0.153903	0.00119037
192	0.479792	0.504381	0.158312	0.00117449
193	0.481479	0.500166	0.168007	0.00114089
194	0.479779	0.491936	0.176473	0.00111142
195	0.477363	0.495417	0.184132	0.00108479
196	0.476778	0.501177	0.195533	0.00104515
197	0.478374	0.493702	0.199617	0.00103017
198	0.477299	0.499187	0.204213	0.00101348
199	0.479292	0.492512	0.208388	0.000998719
200	0.474216	0.492553	0.215795	0.000972731
201	0.478059	0.494665	0.224058	0.000943224
202	0.478069	0.495251	0.228823	0.000925652
203	0.478309	0.488536	0.234078	0.00090668
204	0.478604	0.496891	0.237452	0.000894053
205	0.477926	0.495467	0.239881	0.000884845
206	0.475363	0.485697	0.241516	0.00087833
207	0.472224	0.484814	0.248609	0.000853943
208	0.475587	0.488805	0.254562	0.000833456
209	0.469868	0.489109	0.260632	0.0008115
210	0.472872	0.496435	0.263366	0.000801589
211	0.474474	0.486939	0.266958	0.000789179
212	0.471123	0.484467	0.269383	0.000780119
213	0.470943	0.4932	0.271099	0.00077311
214	0.471037	0.490457	0.275336	0.000757236
215	0.476142	0.4889	0.275957	0.000754052
216	0.475265	0.491863	0.278716	0.000743388
217	0.471883	0.485647	0.281812	0.000731984
218	0.47262	0.490092	0.284438	0.000722087
219	0.473407	0.485446	0.287111	0.000711994
220	0.473215	0.49287	0.289413	0.000703411
221	0.471292	0.483455	0.291248	0.000695938
222	0.471501	0.48472	0.292592	0.000690417
223	0.472909	0.483819	0.295474	0.000679585
224	0.4715	0.484747	0.296519	0.000675139
225	0.472922	0.4817	0.303211	0.000650923
226	0.473418	0.482447	0.305965	0.000640407
227	0.47112	0.478316	0.306342	0.000638338
228	0.471797	0.48078	0.309109	0.000628472
229	0.471412	0.481664	0.311987	0.000618216
230	0.469913	0.480486	0.313349	0.00061262
231	0.471145	0.480741	0.314326	0.000608467
232	0.472539	0.482925	0.315331	0.000604386
233	0.471461	0.481226	0.316251	0.000600757
234	0.469986	0.478873	0.317853	0.000594533
235	0.471503	0.478624	0.319323	0.000588744
236	0.471894	0.478675	0.321401	0.000580793
237	0.470078	0.479462	0.324088	0.000570391
238	0.470214	0.478723	0.32436	0.000568857
239	0.470109	0.481308	0.324589	0.000567219
240	0.467881	0.483108	0.325552	0.000563015
241	0.470686	0.488132	0.32735	0.00055594
242	0.47049	0.483548	0.327442	0.000554801
243	0.469341	0.486135	0.328621	0.000549769
244	0.47049	0.482122	0.329552	0.000545758
245	0.471847	0.484126	0.331463	0.000538707
246	0.472013	0.483727	0.332353	0.00053496
247	0.469531	0.48307	0.332921	0.000532074
248	0.472019	0.481821	0.334001	0.000527329
249	0.469918	0.478876	0.334705	0.000524591
250	0.471283	0.477861	0.334959	0.000523261
251	0.468666	0.477621	0.3357	0.000519916
252	0.470616	0.479188	0.336711	0.00051552
253	0.469354	0.480348	0.337847	0.000511037
254	0.468582	0.476914	0.339127	0.000505801
255	0.470978	0.479153	0.339318	0.000504454
256	0.467664	0.482581	0.340076	0.000501285
257	0.469065	0.474211	0.341365	0.000496477
258	0.46889	0.476065	0.341977	0.000493622
259	0.470068	0.477145	0.342782	0.00049005
260	0.468604	0.476165	0.342725	0.000489598
261	0.46951	0.477893	0.34308	0.000487643
262	0.468672	0.477879	0.343635	0.00048498
263	0.46708	0.477104	0.344383	0.000481667
264	0.468439	0.481463	0.345358	0.000478088
265	0.468759	0.478751	0.345849	0.00047578
266	0.470963	0.481369	0.346687	0.000472082
267	0.46955	0.480754	0.347421	0.000469073
268	0.469926	0.476043	0.347804	0.000467345
269	0.469755	0.475796	0.34886	0.000462891
270	0.469629	0.478072	0.349411	0.000460281
271	0.468094	0.476406	0.349667	0.000458747
272	0.469506	0.479512	0.350187	0.00045622
273	0.469352	0.475936	0.350664	0.000453808
274	0.467242	0.477831	0.350871	0.000452404
275	0.468255	0.480027	0.351287	0.000450438
276	0.470016	0.478435	0.351743	0.000448372
277	0.468261	0.476672	0.352118	0.000446535
278	0.468453	0.476171	0.352143	0.000445892
279	0.466904	0.475071	0.35284	0.000442984
280	0.468075	0.475179	0.353808	0.000439011
281	0.467285	0.477784	0.354155	0.000437165
282	0.46819	0.473749	0.355106	0.000433502
283	0.468721	0.479326	0.35545	0.000432005
284	0.46876	0.476059	0.356104	0.000429233
285	0.467855	0.474464	0.356475	0.000427359
286	0.467847	0.474547	0.35726	0.000423925
287	0.467524	0.475242	0.357744	0.000421584
288	0.467151	0.473593	0.358049	0.000419871
289	0.46581	0.476796	0.358372	0.000418139
290	0.466085	0.473964	0.358611	0.000416657
291	0.467317	0.476303	0.35917	0.000414209
292	0.464552	0.476181	0.35973	0.00041175
293	0.467691	0.474642	0.359992	0.00041031
294	0.46842	0.475736	0.360148	0.000409286
295	0.46731	0.471521	0.360171	0.000408743
296	0.467709	0.474578	0.36076	0.000406215
297	0.466445	0.474611	0.361325	0.000403774
298	0.467506	0.471706	0.361622	0.000402364
299	0.466092	0.47221	0.3618	0.000401266
300	0.466434	0.472668	0.362464	0.000398496
301	0.465263	0.472678	0.362735	0.000397153
302	0.466075	0.472765	0.363453	0.000394492
303	0.465887	0.473608	0.363749	0.000393054
304	0.465358	0.472222	0.364629	0.000389986
305	0.466385	0.474464	0.365108	0.000388079
306	0.465725	0.471353	0.365481	0.000386355
307	0.467043	0.476101	0.365864	0.000384623
308	0.465343	0.472421	0.366067	0.00038365
309	0.466501	0.472716	0.366244	0.000382679
310	0.465518	0.474863	0.366523	0.000381403
311	0.467015	0.475432	0.366653	0.000380491
312	0.466928	0.476781	0.367339	0.00037774
313	0.466654	0.474354	0.367873	0.000375386
314	0.466519	0.474712	0.368141	0.000374026
315	0.466285	0.47468	0.368287	0.000373099
316	0.466101	0.482378	0.36847	0.000372056
317	0.464955	0.475876	0.368494	0.000371553
318	0.46599	0.472725	0.368833	0.000369905
319	0.465601	0.473217	0.368846	0.000369316
320	0.46621	0.478319	0.369138	0.000367849
321	0.46614	0.479192	0.369446	0.000366433
322	0.46528	0.482208	0.36951	0.000365731
323	0.466852	0.47591	0.369714	0.000364561
324	0.464915	12.536	0.369911	0.0003634
325	0.468311	0.477759	0.370067	0.000362525
326	0.465911	0.476615	0.370447	0.000360892
327	0.46488	0.473412	0.370717	0.000359435
328	0.465279	0.472244	0.370852	0.00035847
329	0.465446	0.476733	0.371066	0.000357301
330	0.465128	0.474276	0.371495	0.000355332
331	0.464832	0.473219	0.371993	0.000353308
332	0.463619	0.473367	0.372185	0.000352205
333	0.466014	0.476747	0.372233	0.000351571
334	0.467242	0.47333	0.372321	0.000350829
335	0.465885	0.47787	0.372466	0.000350116
336	0.464174	0.478123	0.372824	0.00034877
337	0.46423	0.472962	0.373089	0.000347581
338	0.46627	0.472949	0.37354	0.000345897
339	0.465964	0.473628	0.373851	0.000344325
340	0.465881	0.473101	0.374113	0.00034308
341	0.467612	0.473508	0.374358	0.000341747
342	0.466434	0.471116	0.374597	0.000340649
343	0.466172	0.472274	0.374872	0.000339564
344	0.466807	0.475229	0.374861	0.000339209
345	0.465425	0.475834	0.375123	0.000337915
346	0.46484	0.470961	0.375325	0.000336977
347	0.465851	0.471556	0.375522	0.000335993
348	0.466	0.473433	0.375671	0.000334987
349	0.464019	0.470256	0.375789	0.000334116
350	0.465542	0.474542	0.375916	0.000333214
351	0.465564	0.477729	0.376142	0.000332013
352	0.464777	0.472459	0.376331	0.000330927
353	0.464918	0.476537	0.376655	0.00032938
354	0.465614	0.471414	0.376565	0.000329272
355	0.464897	0.472096	0.376608	0.000328761
356	0.464388	0.471789	0.376967	0.000327173
357	0.46514	0.468794	0.376922	0.000326844
358	0.465314	0.472811	0.377018	0.000326127
359	0.465994	0.469978	0.377023	0.00032584
360	0.465016	0.47085	0.377191	0.000324906
361	0.464846	0.470449	0.377513	0.000323592
362	0.465116	0.469838	0.377683	0.000322602
363	0.463071	0.470648	0.377797	0.000321832
364	0.465067	0.468976	0.377886	0.000321135
365	0.464974	0.472236	0.377841	0.000320842
366	0.46424	0.470898	0.378019	0.000319939
367	0.465301	0.468288	0.378241	0.000318927
368	0.464327	0.473075	0.378207	0.000318639
369	0.46352	0.475	0.378503	0.000317392
370	0.465087	0.472678	0.378584	0.000316816
371	0.464018	0.480647	0.378758	0.000315899
372	0.464714	0.474709	0.379008	0.000314674
373	0.463062	0.470142	0.379354	0.000313292
374	0.463763	0.472877	0.379467	0.000312582
375	0.463429	0.470962	0.379596	0.000311877
376	0.464074	0.471469	0.379722	0.000311257
377	0.465038	0.473449	0.379866	0.00031033
378	0.463834	0.469494	0.379908	0.000309782
379	0.463585	0.473755	0.38007	0.000308926
380	0.46346	0.469086	0.380231	0.000307941
381	0.464235	0.471646	0.380273	0.000307453
382	0.463812	0.469168	0.380457	0.000306453
383	0.463591	9.68832	0.380863	0.000304776
384	0.465365	0.472664	0.381093	0.000303564
385	0.46345	0.472756	0.38114	0.000303037
386	0.463583	0.467304	0.381419	0.000301731
387	0.464095	0.471354	0.381636	0.000300888
388	0.463179	0.469632	0.381913	0.000299954
389	0.464178	0.469013	0.381828	0.00029983
390	0.463899	0.473432	0.382027	0.000298916
391	0.463449	0.468545	0.382002	0.000298612
392	0.463739	0.467238	0.382169	0.000297735
393	0.46437	0.470408	0.38251	0.000296273
394	0.46303	0.471601	0.382572	0.000295762
395	0.463583	0.469046	0.382714	0.00029498
396	0.463502	0.467618	0.382872	0.000294204
397	0.464367	0.473181	0.383076	0.000293257
398	0.463655	0.475659	0.38323	0.000292568
399	0.463348	0.468078	0.383985	0.000289962
400	0.463699	0.470091	0.384104	0.00028937
401	0.463799	0.470645	0.384219	0.000288675
402	0.463427	17.7804	0.384307	0.000288089
403	0.463199	0.466647	0.384536	0.000287254
404	0.462354	0.470079	0.384686	0.000286528
405	0.463211	0.472642	0.38479	0.000285773
406	0.46358	0.471405	0.384864	0.00028512
407	0.462775	0.472476	0.385058	0.000284375
408	0.463012	0.468187	0.385284	0.000283359
409	0.4637	0.472791	0.385601	0.00028204
410	0.462407	0.470348	0.385659	0.000281507
411	0.464015	0.47339	0.385793	0.000280704
412	0.462654	0.470957	0.386303	0.000278749
413	0.463375	0.469078	0.386559	0.000277641
414	0.461932	0.470862	0.386689	0.000276796
415	0.463341	0.467096	0.386976	0.000275532
416	0.463734	0.466333	0.387368	0.000273977
417	0.463632	0.472228	0.38763	0.000272836
418	0.463462	0.466295	0.388118	0.000271111
419	0.463647	0.47078	0.38904	0.000268223
420	0.463215	0.465792	0.389425	0.000266583
421	0.463827	0.46849	0.390167	0.000263961
422	0.463574	0.47229	0.390937	0.000261105
423	0.463928	0.470967	0.391842	0.000258352
424	0.463711	0.468636	0.392181	0.000257117
425	0.463835	0.468605	0.392369	0.000256329
426	0.464142	0.469647	0.392654	0.000255288
427	0.464615	0.471018	0.393338	0.000253136
428	0.463386	0.471273	0.393323	0.00025291
429	0.463704	0.470426	0.393396	0.000252463
430	0.463451	0.472641	0.393742	0.000251206
431	0.463936	0.471195	0.393858	0.000250595
432	0.463364	0.471436	0.394006	0.000249924
433	0.463642	0.46941	0.394236	0.000249036
434	0.46289	0.469563	0.394522	0.000247949
435	0.463249	0.470789	0.394813	0.000246899
436	0.46333	0.470068	0.395211	0.00024557
437	0.46299	0.469116	0.395167	0.000245411
438	0.463757	0.472756	0.395534	0.000244167
439	0.463588	0.470358	0.396137	0.000242274
440	0.463704	0.468318	0.396333	0.000241499
441	0.463481	0.468526	0.396784	0.000239796
442	0.463434	0.469551	0.397117	0.000238592
443	0.464227	0.470213	0.397618	0.00023685
444	0.463059	0.466034	0.397846	0.000235872
445	0.464138	4.37805	0.39808	0.000234955
446	0.463145	0.469234	0.398122	0.000234572
447	0.463772	0.465518	0.39862	0.000232985
448	0.463728	0.472532	0.399067	0.000231489
449	0.46356	0.467365	0.399136	0.000231032
450	0.46345	0.471305	0.399377	0.000230027
451	0.463627	0.470202	0.399653	0.000228783
452	0.463849	0.470366	0.399692	0.000228339
453	0.464009	0.467538	0.400971	0.000223757
454	0.463926	0.469249	0.401457	0.000222043
455	0.463449	0.469352	0.401875	0.000220686
456	0.463824	0.466466	0.402212	0.000219523
457	0.463173	0.4666	0.402321	0.000218985
458	0.463605	0.470237	0.403137	0.000216177
459	0.463902	0.470693	0.403438	0.000214865
460	0.463443	0.470496	0.403628	0.000213925
461	0.46311	0.470884	0.404127	0.000212228
462	0.462971	0.467873	0.404224	0.000211604
463	0.46273	0.466936	0.40455	0.000210241
464	0.4631	0.470597	0.404919	0.000208819
465	0.46315	0.470902	0.405019	0.000208264
466	0.463104	9.8859	0.405502	0.000206732
467	0.463506	9.49614	0.406123	0.000204519
468	0.463278	0.474909	0.406614	0.000202771
469	0.463337	0.468096	0.406653	0.000202488
470	0.46384	0.479109	0.406913	0.000201487
471	0.463329	0.470647	0.407006	0.000201063
472	0.463	0.46967	0.407572	0.000199243
473	0.463351	0.476087	0.407622	0.000198815
474	0.463236	0.470556	0.408042	0.000197202
475	0.462929	0.469742	0.408272	0.000196268
476	0.462667	0.469963	0.408285	0.000195974
477	0.463181	0.469543	0.408495	0.000195108
478	0.463243	0.47903	0.408776	0.000194027
479	0.463099	0.471829	0.409102	0.000192785
480	0.463404	0.46914	0.409428	0.000191736
481	0.463381	0.475131	0.40972	0.00019046
482	0.461984	0.471206	0.409859	0.000189732
483	0.462737	0.465898	0.410317	0.000188222
484	0.462812	0.471892	0.410486	0.000187559
485	0.463909	0.473973	0.410591	0.000187025
486	0.462992	0.47751	0.410934	0.000186048
487	0.463384	0.471104	0.411021	0.000185593
488	0.463168	0.478476	0.411251	0.000184666
489	0.463085	0.467543	0.411555	0.000183368
490	0.4631	0.470748	0.411739	0.000182483
491	0.463071	0.469926	0.411799	0.000182073
492	0.46311	0.471846	0.412316	0.000180218
493	0.463279	0.475297	0.412431	0.000179573
494	0.463731	0.471394	0.412556	0.00017891
495	0.463946	0.473182	0.412674	0.000178278
496	0.464055	0.474585	0.413128	0.000176673
497	0.463284	0.467904	0.413142	0.000176385
498	0.463473	0.47087	0.413323	0.000175637
499	0.46284	0.476203	0.413496	0.000174968
500	0.462806	0.467677	0.414024	0.00017314
501	0.464182	0.471382	0.414173	0.000172458
502	0.464166	0.471738	0.415098	0.000169577
503	0.463863	0.468881	0.415593	0.000167755
504	0.463153	0.466702	0.416485	0.000165014
505	0.462484	0.46989	0.417205	0.00016265
506	0.463451	0.471924	0.417981	0.000160354
507	0.463291	0.470379	0.418097	0.000159754
508	0.463231	0.47026	0.419525	0.000155557
509	0.464231	0.468612	0.420048	0.000153966
510	0.463684	0.471188	0.420563	0.000152477
511	0.462247	0.467346	0.420865	0.000151454
512	0.462678	0.472073	0.421586	0.000149217
513	0.463309	0.468832	0.422439	0.000146489
514	0.464408	0.47515	0.422554	0.000145965
515	0.463247	0.467427	0.42284	0.000144991
516	0.462635	0.46863	0.423686	0.000142315
517	0.463569	0.470463	0.424035	0.000141013
518	0.463478	0.472824	0.424333	0.000139853
519	0.462842	0.472127	0.424819	0.000138344
520	0.462807	0.466528	0.425555	0.000135671
521	0.462278	0.46641	0.426041	0.000134103
522	0.464705	0.470119	0.426418	0.000132904
523	0.463613	0.470042	0.426762	0.000131755
524	0.463819	0.468153	0.427233	0.000130308
525	0.461805	0.468716	0.427497	0.000129281
526	0.462871	0.475559	0.427824	0.000128167
527	0.46196	0.471438	0.428293	0.000126707
528	0.463317	0.471708	0.428402	0.000126218
529	0.462882	0.472423	0.428836	0.00012456
530	0.462595	0.469048	0.42906	0.000123613
531	0.463312	0.475498	0.429764	0.000121242
532	0.462882	0.47456	0.430129	0.000119968
533	0.462672	0.470656	0.430658	0.000118494
534	0.464011	4.99807	0.43104	0.000117302
535	0.463689	4.21994	0.431197	0.000116681
536	0.463095	0.471005	0.431502	0.000115514
537	0.462489	0.468641	0.432001	0.000113908
538	0.462049	0.467837	0.432196	0.000113145
539	0.463436	0.476644	0.432593	0.000111638
540	0.462906	0.468046	0.433033	0.000109914
541	0.462687	0.473219	0.433323	0.000108776
542	0.463012	0.47171	0.433629	0.000107659
543	0.463234	0.470897	0.434017	0.000106121
544	0.463992	0.475921	0.434295	0.000104988
545	0.462695	0.470321	0.43443	0.000104449
546	0.463312	0.467892	0.43462	0.00010378
547	0.463247	0.469491	0.434784	0.000103159
548	0.462967	0.474533	0.435044	0.000102327
549	0.461535	0.467589	0.435195	0.000101624
550	0.463176	0.469136	0.435451	0.000100549
551	0.462881	0.47031	0.435638	9.97801e-05
552	0.463755	0.472515	0.4359	9.86796e-05
553	0.462622	0.470139	0.436101	9.78e-05
554	0.463803	0.467319	0.436428	9.64736e-05
555	0.462934	5.098	0.436484	9.61202e-05
556	0.462299	0.475199	0.436598	9.556e-05
557	0.462911	0.472153	0.436709	9.5013e-05
558	0.462046	0.473299	0.437034	9.38222e-05
559	0.462348	0.47171	0.437166	9.32104e-05
560	0.463097	0.473277	0.437392	9.22697e-05
561	0.462896	0.475068	0.437541	9.16032e-05
562	0.461818	0.472847	0.437657	9.11207e-05
563	0.463264	10.133	0.43792	9.02263e-05
564	0.462386	0.472184	0.43803	8.97097e-05
565	0.463002	0.47977	0.438108	8.92969e-05
566	0.461782	0.469624	0.438211	8.87969e-05
567	0.462886	0.475218	0.438398	8.80522e-05
568	0.461926	16.6821	0.438608	8.73158e-05
569	0.46272	0.477284	0.438714	8.68187e-05
570	0.462572	0.469668	0.438964	8.58452e-05
571	0.463395	17.6685	0.439169	8.50517e-05
572	0.461668	0.472201	0.43928	8.45526e-05
573	0.463215	0.470687	0.439421	8.40273e-05
574	0.462734	11.7213	0.43956	8.35514e-05
575	0.463024	0.473802	0.439675	8.31229e-05
576	0.462617	0.468877	0.439806	8.25607e-05
