Step	Best	Median	Predicted	Progress
135	4.79261	35.5769	-3.57157	0.00290884
136	4.74862	41.9778	-3.47244	0.00287671
137	5.03867	39.1133	-3.3967	0.00285192
138	5.01731	35.3344	-3.30804	0.00282211
139	5.20076	40.982	-3.26393	0.00280673
140	4.78609	49.7982	-3.20147	0.00278639
141	4.70893	36.831	-3.07254	0.00274483
142	4.76693	42.8639	-2.91795	0.00269427
143	4.7807	41.2739	-2.73534	0.00263439
144	4.55476	36.4108	-2.61734	0.00259401
145	4.61019	38.2878	-2.60579	0.0025881
146	5.10034	46.9115	-2.58579	0.0025802
147	4.806	23.3686	-2.53293	0.0025621
148	5.18419	36.9572	-2.46642	0.00254037
149	4.86728	36.4014	-2.36339	0.00250525
150	5.12558	39.0663	-2.32469	0.00249082
151	5.0833	46.2124	-2.17758	0.00244237
152	4.72209	36.2948	-2.05605	0.00240159
153	4.95413	52.1359	-1.96947	0.00237126
154	4.60436	37.7452	-1.79631	0.00231346
155	4.69792	46.8687	-1.71166	0.00228463
156	4.52306	49.4751	-1.5928	0.00224404
157	5.08486	50.5615	-1.51054	0.0022162
158	4.89703	40.5396	-1.46411	0.00219945
159	4.86704	43.3212	-1.38012	0.00217134
160	4.87815	34.2502	-1.28421	0.00213965
161	4.848	44.7094	-1.22913	0.00212029
162	5.00501	20.5877	-1.15967	0.00209655
163	4.99494	43.2556	-1.00183	0.00204493
164	4.79966	30.6701	-0.970077	0.0020334
165	4.45953	32.4054	-0.819817	0.00198298
166	4.69481	32.6167	-0.776847	0.00196776
167	4.90093	44.0893	-0.69562	0.00193989
168	4.62472	35.2006	-0.63515	0.00191876
169	4.88987	13.5767	-0.617576	0.00191164
170	4.90732	35.6112	-0.525186	0.00188022
171	4.71844	26.1164	-0.451866	0.00185503
172	4.69011	17.8729	-0.419495	0.001843
173	4.64168	22.1683	-0.401654	0.00183577
174	4.4025	28.1711	-0.229634	0.00177891
175	4.52722	28.4947	-0.126534	0.00174433
176	4.37425	19.7322	-0.10348	0.00173546
177	4.4224	35.1581	-0.108161	0.00173553
178	4.30359	36.5063	-0.107227	0.0017338
179	4.59429	37.8882	-0.0287337	0.00170705
180	4.45445	10.7003	0.0347276	0.00168513
181	4.41014	29.0959	0.0541129	0.00167743
182	4.58125	30.9067	0.127838	0.0016522
183	4.64846	20.5749	0.139675	0.00164695
184	4.56107	39.0529	0.164966	0.00163733
185	4.48105	28.8751	0.202913	0.00162363
186	4.39109	34.8541	0.224125	0.00161537
187	4.67489	28.7614	0.310807	0.00158593
188	4.4137	36.1042	0.252072	0.00160352
189	4.61013	19.6712	0.357905	0.00156781
190	4.57423	27.1623	0.428385	0.00154349
191	4.60952	32.5346	0.468561	0.00152902
192	4.71779	21.0376	0.494712	0.00151914
193	4.61433	20.5576	0.57955	0.00149033
194	4.45843	36.0194	0.609778	0.00147927
195	4.43536	36.4333	0.633028	0.0014703
196	4.3946	31.9037	0.618094	0.00147376
197	4.58247	32.3038	0.679137	0.00145243
198	4.27518	24.7542	0.670796	0.00145374
199	4.34676	33.1327	0.645441	0.00146047
200	4.36332	39.9466	0.631597	0.00146344
201	4.3441	27.1342	0.619551	0.00146596
202	4.55413	44.8962	0.642319	0.00145719
203	4.50534	34.7057	0.674725	0.00144545
204	4.49732	40.6827	0.707759	0.0014333
205	4.58176	53.2353	0.73187	0.00142411
206	4.48359	39.1925	0.756288	0.00141486
207	4.47623	37.8632	0.802508	0.00139874
208	4.27039	29.7772	0.792574	0.00140029
209	4.44099	24.7322	0.796632	0.00139792
210	4.41365	27.4554	0.811715	0.00139189
211	4.37948	32.7336	0.8088	0.00139154
212	4.43612	30.2029	0.830058	0.00138319
213	4.48911	29.8132	0.843992	0.0013773
214	4.31379	25.9998	0.821882	0.00138314
215	4.25266	37.9776	0.792422	0.00139143
216	4.27168	32.2099	0.76448	0.0013992
217	4.37977	37.1284	0.787857	0.00139019
218	4.27123	29.7138	0.738282	0.00140509
219	4.2156	20.9974	0.713748	0.00141147
220	4.18225	39.179	0.690813	0.00141729
221	4.27825	23.1785	0.672449	0.00142195
222	4.18315	36.7925	0.658046	0.00142528
223	4.32009	25.2928	0.658423	0.00142385
224	4.31675	29.1317	0.663614	0.00142082
225	4.30845	32.0356	0.666839	0.00141873
226	4.24805	28.2285	0.652766	0.00142191
227	4.50075	34.1871	0.667325	0.00141595
228	4.42374	31.3557	0.677748	0.00141143
229	4.46609	28.2794	0.686046	0.00140743
230	4.52264	28.9921	0.713066	0.00139728
231	4.52045	27.5399	0.718047	0.00139439
232	4.48656	12.5899	0.732709	0.00138835
233	4.36323	20.8286	0.762849	0.00137724
234	4.26871	25.4639	0.730372	0.00138659
235	4.22852	45.6799	0.757738	0.00137633
236	4.29685	7.54082	0.72713	0.001385
237	4.42445	14.4731	0.754345	0.00137494
238	4.32283	14.1846	0.780338	0.00136543
239	4.28762	11.3922	0.796441	0.00135895
240	4.24269	24.0765	0.822411	0.00134941
241	4.08065	7.25187	0.787559	0.00135927
242	4.31795	30.0762	0.808028	0.00135152
243	4.09389	32.6154	0.786384	0.00135718
244	4.24479	23.738	0.774639	0.00135981
245	4.14473	9.90776	0.764077	0.00136179
246	4.24519	22.0689	0.775577	0.00135697
247	4.17855	34.0046	0.78549	0.00135247
248	4.19526	21.572	0.780251	0.0013529
249	4.07691	33.0131	0.750724	0.00136124
250	4.05199	16.4245	0.728227	0.00136715
251	4.26732	50.7913	0.749004	0.00135922
252	4.19853	26.3807	0.747822	0.00135836
253	4.06267	20.5986	0.735834	0.00136095
254	4.12357	33.7715	0.735751	0.00135973
255	4.13658	21.0897	0.729968	0.00136038
256	4.15831	24.0014	0.744159	0.0013546
257	4.10089	23.7371	0.750701	0.00135122
258	4.0895	39.2142	0.745985	0.00135142
259	4.18274	24.2797	0.751916	0.0013483
260	4.07108	22.022	0.746497	0.00134873
261	4.19933	32.7122	0.747544	0.00134715
262	4.0986	30.2102	0.755957	0.00134321
263	4.12002	20.4923	0.750589	0.00134386
264	4.13061	7.53654	0.761966	0.00133904
265	4.16091	7.86693	0.775466	0.00133353
266	4.07185	24.1921	0.779867	0.00133082
267	4.1249	30.0137	0.788106	0.00132697
268	3.85515	15.4499	0.766109	0.0013328
269	4.06672	20.7399	0.766784	0.00133146
270	4.2138	36.2184	0.77495	0.00132763
271	3.91929	25.8452	0.753682	0.00133324
272	4.17271	25.7028	0.761895	0.00132939
273	4.04321	17.1697	0.762328	0.00132811
274	4.01849	33.0971	0.776834	0.00132219
275	3.9052	20.3951	0.751943	0.001329
276	4.02324	46.2886	0.759693	0.00132533
277	4.06034	15.7215	0.760541	0.00132381
278	4.14496	4.41311	0.769658	0.00131955
279	4.08296	4.29642	0.769333	0.00131842
280	4.01705	10.5667	0.770736	0.00131681
281	4.04664	22.0965	0.781932	0.00131197
282	4.09275	16.8096	0.792934	0.00130727
283	4.01938	4.39903	0.805296	0.00130225
284	3.87198	15.7185	0.780489	0.00130889
285	4.00675	19.8019	0.792739	0.0013039
286	4.06215	21.0349	0.796091	0.00130156
287	4.02867	21.653	0.79778	0.00129977
288	4.06181	7.23659	0.799998	0.0012978
289	3.94047	33.5925	0.805581	0.00129464
290	3.86747	25.992	0.785005	0.00130022
291	3.94002	17.7331	0.793034	0.00129632
292	3.93904	28.3723	0.790904	0.00129582
293	3.88017	24.9688	0.78519	0.00129644
294	3.87234	19.5413	0.770274	0.00130012
295	4.00117	46.9939	0.783421	0.00129456
296	3.96279	22.1102	0.787564	0.00129208
297	3.98543	17.4863	0.787717	0.00129104
298	4.01009	33.8259	0.794108	0.00128786
299	3.90649	9.11668	0.806192	0.00128272
300	3.90382	22.3899	0.818857	0.00127745
301	3.88846	15.7306	0.824127	0.00127467
302	3.93613	19.4751	0.831349	0.0012711
303	4.03568	22.9965	0.833584	0.00126926
304	3.87726	33.3996	0.826613	0.00127044
305	3.8355	34.207	0.814274	0.00127317
306	4.1007	50.594	0.814423	0.00127206
307	4.01748	46.0834	0.827235	0.00126671
308	4.00488	25.6806	0.82665	0.00126571
309	4.01045	35.2907	0.826783	0.00126451
310	4.07021	36.6744	0.831995	0.00126167
311	3.94273	21.8735	0.837719	0.00125873
312	4.01703	37.4023	0.836698	0.00125794
313	4.04586	27.693	0.834971	0.00125735
314	4.01227	26.7226	0.837338	0.00125548
315	3.98693	22.1444	0.844835	0.00125193
316	3.98285	28.6751	0.843013	0.00125146
317	4.04108	27.6465	0.840507	0.00125113
318	3.87586	19.0233	0.839899	0.00125016
319	3.83815	50.369	0.841709	0.00124841
320	3.8761	35.1766	0.838808	0.00124819
321	3.92601	4.17479	0.837433	0.0012475
322	3.79686	13.7076	0.837452	0.00124632
323	3.86332	22.7428	0.840295	0.00124441
324	3.85351	21.3138	0.84314	0.00124246
325	3.90974	20.2924	0.844031	0.00124101
326	3.86562	21.2326	0.842567	0.00124032
327	3.90643	14.0611	0.842941	0.00123913
